song_name,song_id,artists,album,duration_ms,explicit,artist_id,num_of_artists,danceability,energy,loudness,speechiness,tempo,song_title_en
When It Comes To You,5hICNgoZHgkAl7l8yY0gXC,"['Adam F & Cory Enemy', 'Margot', 'Dizzee Rascal']",When It Comes To You,210004,False,400sJRIZDPQjaMDW1pXaDc,3,0.735065,0.957266,-3.103,0.10391,128.039,When It Comes To You
Engel,4oh4LNSZDU1O9G4BfgDUsN,"['Admiral P', 'Nico D']",Selvtillit & tro,187840,False,2P87oRX5tCFl1PYQRbPCPD,2,0.64392,0.68443,-4.213,0.201141,82.184,Engel
Nattlivspussel,7wEuTlkr5KDpSNZWfnJLEx,['Far & Son'],Inte inför barnen!,222773,False,2RuUKJs7WOJjeAkjRXp1If,1,0.885552,0.695967,-6.754,0.078168,127.021,Nattlivspussel
Angel Of Small Death & The Codeine Scene,2EzyF6aTHojdWfppKtEbez,['Hozier'],Hozier (Deluxe),219214,False,2FXC3k01G6Gw61bmprjgqS,1,0.377049,0.638172,-5.754,0.054523,92.644,Angel Of Small Death & The Codeine Scene
Solglasögon & Sommarbil,6HnL5e2v8Fz52YqfrE4DxB,['Bj\xc3\xb6rn Skifs'],Solglasögon & Sommarbil,210908,False,1Ek3VdZ8EPmcvgRIqnHlrF,1,0.718199,0.770984,-5.832,0.036865,129.934,Solglasögon & Sommarbil
Kaptein Morgan,2e5fLzf0ax8GuI3OywCGTb,['Staysman & Lazz'],Helt Sykt Store Hits,165213,False,2dViR9WphpDpMB3oUiDblq,1,0.766318,0.797648,-6.61,0.152275,111.974,Kaptein Morgan
Fade Out Lines - The Avener Rework,1CleP0jioi374d3PSt1PrJ,['The Avener & Phoebe Killdeer'],Fade Out Lines,276000,False,5a3LNFE90ApnB22P9GhGwq,1,0.854522,0.686422,-5.695,0.031504,119.01,Fade Out Lines
You & I (Nobody in the World) - R3hab Remix - Radio Edit,738J023eio9C4ViccIAQnD,['John Legend'],You & I (Nobody in the World) [R3hab Remix - Radio Edit],194746,False,5y2Xq6xcjJb2jVM54GHK3t,1,0.596687,0.700785,-4.89,0.039188,125.088,You & I (Nobody in the World) - R3hab Remix - Radio Edit
Langa fram,6iXQnKuCfbVLjIG745TXYm,['Ison & Fille'],Länge leve vi,184440,False,1fhvwCr1HKEZgZYOrfsHyk,1,0.838448,0.504296,-9.94,0.404586,103.068,Langa fram
Stay With Me - Live From Spotify Berlin,5FwD0r8W7XSBtXc7Jb4HuC,['Angus & Julia Stone'],Spotify Sessions,174360,False,4tvKz56Tr39bkhcQUTO0Xr,1,0.61299,0.103251,-22.224,0.04588,75.928,Stay With Me - Live From Spotify Berlin
Här kommer vi,2Rp8l0p387KFv6nbRBSPys,['Fritjof & Pikanen'],Här kommer vi,186920,False,2P1adertYPHMXKgklSns8R,1,0.680986,0.896598,-3.811,0.036655,104.065,Här kommer vi
Fasad,3T0TxxfQMgQBxqX7fGky7j,['Elov & Beny'],Fasad,232783,False,4uAXlCewJdAu44uAHehKfd,1,0.732284,0.670278,-7.159,0.031896,107.999,Fasad
Changes - Original Mix,2WUgOSGVqwNDyhoW0CWgzP,"['Faul & Wad Ad', 'Pnau']",Dancefloor Hits #2,343693,False,6HUm6AHJE0oisACMN6NNJ5,2,0.817411,0.636449,-10.16,0.039525,125.993,Changes
Like That (feat. Skate),6rnl5HwEvhsD3wZ6MXZzBp,['Jack & Jack'],Like That (feat. Skate),233333,False,1INuLZXjjVbcJRyWvD1iSq,1,0.677221,0.557508,-5.375,0.201421,143.937,Like That
